"Time1","Time2","Lon.mean","Lon.sd","Lon.50%","Lon.2.5%","Lon.97.5%","Lat.mean","Lat.sd","Lat.50%","Lat.2.5%","Lat.97.5%"
2015-08-07 11:12:27,2015-08-30 18:28:53,11.744331750514,3.91639177874719,11.7299615872372,4.39558001653681,19.8504242871967,52.5200758559584,2.76140748442388,52.371303918904,47.5526391331153,58.4277644266909
2015-08-30 18:28:53,2015-08-31 03:56:06,12.1539218044509,3.2390219995292,12.1418022173986,5.77810622633638,18.5446405163068,53.1958434601533,3.26081025327951,53.1206104046362,46.9484179112787,59.4227787517859
2015-08-31 03:56:06,2015-08-31 18:13:53,13.1907434544473,4.28300870156985,13.1898202801447,4.95205077366736,21.8161768888795,52.584453985503,3.67582481064389,52.6068198540141,45.1493858310319,59.7654996468626
2015-08-31 18:13:53,2015-09-01 04:10:49,12.7432257274041,3.45003945951064,12.776397156918,6.01338654375581,19.5015788387011,51.2133231379254,3.53926544943615,51.2672371403323,44.1990099974846,58.1464099342679
2015-09-01 04:10:49,2015-09-01 17:58:53,13.5315630307092,3.93434913346165,13.4321002808498,5.87309719311835,21.2915350060035,50.1623303171805,4.00599935809084,50.1275941696005,42.4069273916326,58.0217761027973
2015-09-01 17:58:53,2015-09-02 04:11:06,14.1770576389715,3.4037470474466,14.0451705359336,7.38176578007921,21.16165499834,49.0580391861219,3.99982957421548,48.9818345562922,40.9983620305341,57.0829494678803
2015-09-02 04:11:06,2015-09-02 17:53:53,13.4710086406908,3.63972660222454,13.4683043677087,6.49768526287009,20.7122205363369,48.3236308274905,4.13924093237557,48.3735710481875,40.1517623561715,56.2706347890108
2015-09-02 17:53:53,2015-09-03 04:36:02,11.453700168869,3.47659367037084,11.4394426125254,4.75933529825414,17.9884268852214,47.6292726306629,4.1963376593403,47.6489507504507,39.598618675839,55.3402829738255
2015-09-03 04:36:02,2015-09-03 18:13:53,9.53343944321517,3.79944385658181,9.39481585149261,2.10588722570551,17.7659110264869,47.8024113985904,4.47842397970279,47.9018622354056,38.8746267041908,56.2476594362406
2015-09-03 18:13:53,2015-09-04 04:31:06,9.14583739874351,3.2084091832819,9.1120662346191,2.52086645770433,15.0233802688077,48.4519748030592,4.46169572484735,48.5933947162232,39.156786243455,57.2699414609188
2015-09-04 04:31:06,2015-09-04 18:13:53,9.21150262066884,3.88922436922238,9.23162793898083,0.940130044156004,16.5424844856047,48.8989608237945,4.36256498014358,49.0207490976618,40.3905081649589,57.4492176543981
2015-09-04 18:13:53,2015-09-05 04:36:06,8.85114584514572,3.51843580170314,8.9071563246978,1.97308972734327,15.8281377320285,49.1817466772636,4.33950551750893,49.192216308538,40.6962365134519,57.7004145835199
2015-09-05 04:36:06,2015-09-05 18:03:53,9.73866541805112,3.98658686723138,9.68829390139988,1.88975177138068,17.4149837250172,49.3981591170311,4.43784593634452,49.4517237335894,40.6950765919363,57.6243228220099
2015-09-05 18:03:53,2015-09-06 04:31:06,10.0053259123751,3.37017162408634,10.1432159355788,3.25517713091864,16.5677535116815,49.5626912662344,4.22511662354502,49.7553047696916,41.3220904679066,57.3801332192703
2015-09-06 04:31:06,2015-09-06 18:18:57,8.17228347267719,3.7311468024406,8.30554204867446,0.427620587779542,15.3383561178855,49.6451829268283,4.35118715394039,49.8097031558248,41.1235936371964,57.7255193501957
2015-09-06 18:18:57,2015-09-07 04:36:02,7.84213123460005,3.04792650826176,7.86125604869095,1.6522433146101,14.272793821873,49.0219213032904,3.98080424414016,49.0466657938006,41.5807780862377,56.7980754403713
2015-09-07 04:36:02,2015-09-07 18:23:57,6.93427669092131,3.73943062873668,6.87870392063775,-0.0655500725483631,14.3807513858669,47.2367039662288,4.1921838378832,47.1527398248228,39.1519191000004,55.4698166760808
2015-09-07 18:23:57,2015-09-08 04:46:02,6.3127707127025,2.82782007583928,6.31674940291863,0.81319949963381,11.7825494953407,44.6093976289309,4.08414316699822,44.4872278238425,36.8807171910297,52.8889585602263
2015-09-08 04:46:02,2015-09-15 11:34:52,5.95973281423646,3.09687825766525,5.91836879232583,0.111352733916747,12.3081666203239,39.8944804336359,3.65881400050526,39.3549809600614,34.1619406946182,48.1272672715137
2015-09-15 11:34:52,2015-09-22 18:03:53,3.38694064339956,2.679779826123,3.46718369436585,-2.04121672737925,8.80639953052975,37.6675939687015,3.22068153378107,37.4617442062585,31.9052115287959,44.8456763084046
2015-09-22 18:03:53,2015-09-23 05:06:06,4.59227536991004,2.86714870449429,4.52334891704666,-0.966792391540013,10.6428457690858,39.12033744497,5.21482542926112,39.0210670350573,28.1779628600841,49.4522895546917
2015-09-23 05:06:06,2015-09-23 17:38:57,7.01774942411568,2.82464425565668,7.12430726354563,1.1248390162152,12.4611600349035,39.7582130843733,6.4324703937403,39.712462800283,26.9979643419623,51.7212202948562
2015-09-23 17:38:57,2015-09-24 05:00:59,8.66767165544374,2.84195319338019,8.58604826911819,3.3659851247288,14.459453720322,39.9008995363179,7.7668369436792,40.0398568831391,23.8789111639027,54.0514905306675
2015-09-24 05:00:59,2015-09-24 17:13:53,10.7960876961547,3.1336445668176,10.8134347628498,4.66222765444693,16.9166659186427,39.7710614847146,9.00052474535243,40.163403255123,21.5159914855624,55.783027850854
2015-09-24 17:13:53,2015-09-25 04:55:59,11.2404702531591,3.07455506041006,11.3014291475853,4.77213680093012,17.1562052545289,39.445338712213,10.1836926839632,39.8079458036823,19.3825812172478,57.8320206262147
